,refebibl-id,type-code,type-name,title,author,journal-name,pubi-year,volume,isseue,serno,page,pubilisher,doi,arti-id,degree,university,department,artiId,url,citation-day,site-name,registration-day,conference-name,modern_liter,grouped_title
10666,REF058702574,1,학술지(정기간행물),‘문학주의’의 자기동일성 1990년대 『문학동네』의 비평 담론,조연정,상허학보,2018,53,,,9-46,상허학회,http://dx.doi.org/10.22936/sh.53..201806.001,ART002359891,,,,ART002714470,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
10792,REF057409522,1,학술지(정기간행물),박완서와 근대문학사 -서사의 힘으로 1990년대에 맞선 작가-,이상경,여성문학연구,2011,,25,,7-27,한국여성문학학회,,ART001566244,,,,ART002647180,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11108,REF055783225,3,단행본,한국현대예술사대계 6 : 1990년대,한국예술연구소,,1999,,,,-,시공사,,,,,,ART002625131,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11122,REF055783239,1,학술지(정기간행물),1990년대 문학지형과 여성문학 담론,서영인,대중서사연구,2018,24,2,,9-40,대중서사학회,http://dx.doi.org/10.18856/jpn.2018.24.2.001,ART002348574,,,,ART002625131,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11127,REF055783244,1,학술지(정기간행물),‘문학주의’ 시대의 ‘포스트모더니즘’ —1990년대 비평이 ‘포스트모더니즘’과 접속하는 방식,조연정,대중서사연구,2018,24,4,,329-374,대중서사학회,http://dx.doi.org/10.18856/jpn.2018.24.4.011,ART002406161,,,,ART002625131,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11129,REF055783246,1,학술지(정기간행물),1990년대 페미니스트 여성 대중의 등장과 잡지 『페미니스트저널 if』의 정치학,허윤,상허학보,2018,53,,,85-117,상허학회,http://dx.doi.org/10.22936/sh.53..201806.003,ART002359932,,,,ART002625131,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11133,REF055783250,1,학술지(정기간행물),『늪을 건너는 법』 혹은 포스트모던 로만스–소설의 탄생—한국문학의 1990년대를 보는 한 관점,황종연,문학동네,2016,,89,,445-492,,,,,,,ART002625131,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11443,REF060736927,1,학술지(정기간행물),가족이데올로기의 종언― 1990년대 이후 소설에 나타난 탈가족주의 ―,김미현,여성문학연구,2005,,13,,137-168,한국여성문학학회,,ART001170268,,,,ART002801269,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11553,REF058662021,1,학술지(정기간행물),‘언표’로서의 내면－1990년대 문학사의 비판적 재구성을 위한예비적 고찰들－,강동호,한국학연구,2020,,56,,249-273,한국학연구소,http://dx.doi.org/10.23033/inhaks.2020..56.008,ART002566596,,,,ART002712146,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11562,REF058662030,1,학술지(정기간행물),만들어진 내면성 - 김영현과 장정일의 소설을 통해 본 1990년대 초 문학의 내면성 구성과 전복 양상,배하은,한국현대문학연구,2016,,50,,547-585,한국현대문학회,http://dx.doi.org/10.22871/mklite.2016..50.017,ART002184814,,,,ART002712146,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
11563,REF058662031,1,학술지(정기간행물),1990년대 문학지형과 여성문학 담론,서영인,대중서사연구,2018,24,2,,9-40,대중서사학회,http://dx.doi.org/10.18856/jpn.2018.24.2.001,ART002348574,,,,ART002712146,,,,,,기존,"1990년대 페미니즘의 대중화, 그 직전의 풍경"
